id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,source,scraped_at
69,2020,7,2020-10-03,Cádiz,Elche,2,2,D,Generated,2025-07-12T11:53:36.881343
66,2020,7,2020-10-03,Espanyol,Getafe,2,3,A,Generated,2025-07-12T11:53:36.881278
70,2020,7,2020-10-03,Granada,Huesca,4,2,H,Generated,2025-07-12T11:53:36.881360
67,2020,7,2020-10-03,Levante,Osasuna,1,1,D,Generated,2025-07-12T11:53:36.881308
68,2020,7,2020-10-03,Mallorca,Alavés,4,1,H,Generated,2025-07-12T11:53:36.881326
65,2020,7,2020-10-03,Real Betis,Celta Vigo,2,2,D,Generated,2025-07-12T11:53:36.881261
61,2020,7,2020-10-03,Real Madrid,Barcelona,2,1,H,Generated,2025-07-12T11:53:36.881195
63,2020,7,2020-10-03,Valencia,Villarreal,4,3,H,Generated,2025-07-12T11:53:36.881228
74,2020,8,2020-10-10,Athletic Bilbao,Real Sociedad,2,1,H,Generated,2025-07-12T11:53:36.881430
72,2020,8,2020-10-10,Atlético Madrid,Sevilla,1,2,A,Generated,2025-07-12T11:53:36.881395
79,2020,8,2020-10-10,Cádiz,Elche,1,2,A,Generated,2025-07-12T11:53:36.881515
76,2020,8,2020-10-10,Espanyol,Getafe,2,0,H,Generated,2025-07-12T11:53:36.881464
80,2020,8,2020-10-10,Granada,Huesca,3,1,H,Generated,2025-07-12T11:53:36.881531
77,2020,8,2020-10-10,Levante,Osasuna,4,1,H,Generated,2025-07-12T11:53:36.881480
78,2020,8,2020-10-10,Mallorca,Alavés,3,1,H,Generated,2025-07-12T11:53:36.881498
75,2020,8,2020-10-10,Real Betis,Celta Vigo,1,0,H,Generated,2025-07-12T11:53:36.881447
71,2020,8,2020-10-10,Real Madrid,Barcelona,3,2,H,Generated,2025-07-12T11:53:36.881378
73,2020,8,2020-10-10,Valencia,Villarreal,4,2,H,Generated,2025-07-12T11:53:36.881412
84,2020,9,2020-10-17,Athletic Bilbao,Real Sociedad,2,2,D,Generated,2025-07-12T11:53:36.881599
82,2020,9,2020-10-17,Atlético Madrid,Sevilla,1,1,D,Generated,2025-07-12T11:53:36.881566
89,2020,9,2020-10-17,Cádiz,Elche,4,1,H,Generated,2025-07-12T11:53:36.881681
86,2020,9,2020-10-17,Espanyol,Getafe,3,2,H,Generated,2025-07-12T11:53:36.881632
90,2020,9,2020-10-17,Granada,Huesca,2,2,D,Generated,2025-07-12T11:53:36.881697
87,2020,9,2020-10-17,Levante,Osasuna,4,1,H,Generated,2025-07-12T11:53:36.881648
88,2020,9,2020-10-17,Mallorca,Alavés,1,0,H,Generated,2025-07-12T11:53:36.881664
85,2020,9,2020-10-17,Real Betis,Celta Vigo,1,1,D,Generated,2025-07-12T11:53:36.881615
81,2020,9,2020-10-17,Real Madrid,Barcelona,0,0,D,Generated,2025-07-12T11:53:36.881549
83,2020,9,2020-10-17,Valencia,Villarreal,2,2,D,Generated,2025-07-12T11:53:36.881582
94,2020,10,2020-10-24,Athletic Bilbao,Real Sociedad,1,0,H,Generated,2025-07-12T11:53:36.881765
92,2020,10,2020-10-24,Atlético Madrid,Sevilla,3,4,A,Generated,2025-07-12T11:53:36.881731
99,2020,10,2020-10-24,Cádiz,Elche,2,2,D,Generated,2025-07-12T11:53:36.881847
96,2020,10,2020-10-24,Espanyol,Getafe,1,0,H,Generated,2025-07-12T11:53:36.881798
100,2020,10,2020-10-24,Granada,Huesca,1,1,D,Generated,2025-07-12T11:53:36.881863
97,2020,10,2020-10-24,Levante,Osasuna,3,0,H,Generated,2025-07-12T11:53:36.881814
98,2020,10,2020-10-24,Mallorca,Alavés,2,2,D,Generated,2025-07-12T11:53:36.881830
95,2020,10,2020-10-24,Real Betis,Celta Vigo,0,2,A,Generated,2025-07-12T11:53:36.881781
91,2020,10,2020-10-24,Real Madrid,Barcelona,2,0,H,Generated,2025-07-12T11:53:36.881715
93,2020,10,2020-10-24,Valencia,Villarreal,0,2,A,Generated,2025-07-12T11:53:36.881747
104,2020,11,2020-10-31,Athletic Bilbao,Real Sociedad,1,1,D,Generated,2025-07-12T11:53:36.881930
102,2020,11,2020-10-31,Atlético Madrid,Sevilla,2,0,H,Generated,2025-07-12T11:53:36.881897
109,2020,11,2020-10-31,Cádiz,Elche,0,2,A,Generated,2025-07-12T11:53:36.882012
106,2020,11,2020-10-31,Espanyol,Getafe,3,0,H,Generated,2025-07-12T11:53:36.881962
110,2020,11,2020-10-31,Granada,Huesca,0,3,A,Generated,2025-07-12T11:53:36.882031
107,2020,11,2020-10-31,Levante,Osasuna,1,2,A,Generated,2025-07-12T11:53:36.881979
108,2020,11,2020-10-31,Mallorca,Alavés,1,1,D,Generated,2025-07-12T11:53:36.881996
105,2020,11,2020-10-31,Real Betis,Celta Vigo,3,2,H,Generated,2025-07-12T11:53:36.881946
101,2020,11,2020-10-31,Real Madrid,Barcelona,3,0,H,Generated,2025-07-12T11:53:36.881880
103,2020,11,2020-10-31,Valencia,Villarreal,3,1,H,Generated,2025-07-12T11:53:36.881913
114,2020,12,2020-11-07,Athletic Bilbao,Real Sociedad,2,0,H,Generated,2025-07-12T11:53:36.882097
112,2020,12,2020-11-07,Atlético Madrid,Sevilla,2,2,D,Generated,2025-07-12T11:53:36.882065
119,2020,12,2020-11-07,Cádiz,Elche,2,3,A,Generated,2025-07-12T11:53:36.882178
116,2020,12,2020-11-07,Espanyol,Getafe,4,0,H,Generated,2025-07-12T11:53:36.882130
120,2020,12,2020-11-07,Granada,Huesca,1,2,A,Generated,2025-07-12T11:53:36.882194
117,2020,12,2020-11-07,Levante,Osasuna,1,0,H,Generated,2025-07-12T11:53:36.882146
118,2020,12,2020-11-07,Mallorca,Alavés,0,0,D,Generated,2025-07-12T11:53:36.882162
115,2020,12,2020-11-07,Real Betis,Celta Vigo,2,4,A,Generated,2025-07-12T11:53:36.882113
111,2020,12,2020-11-07,Real Madrid,Barcelona,2,2,D,Generated,2025-07-12T11:53:36.882048
113,2020,12,2020-11-07,Valencia,Villarreal,2,1,H,Generated,2025-07-12T11:53:36.882081
124,2020,13,2020-11-14,Athletic Bilbao,Real Sociedad,2,2,D,Generated,2025-07-12T11:53:36.882262
122,2020,13,2020-11-14,Atlético Madrid,Sevilla,2,1,H,Generated,2025-07-12T11:53:36.882229
129,2020,13,2020-11-14,Cádiz,Elche,1,1,D,Generated,2025-07-12T11:53:36.882343
126,2020,13,2020-11-14,Espanyol,Getafe,2,1,H,Generated,2025-07-12T11:53:36.882294
130,2020,13,2020-11-14,Granada,Huesca,1,1,D,Generated,2025-07-12T11:53:36.882361
127,2020,13,2020-11-14,Levante,Osasuna,1,2,A,Generated,2025-07-12T11:53:36.882311
128,2020,13,2020-11-14,Mallorca,Alavés,1,1,D,Generated,2025-07-12T11:53:36.882327
125,2020,13,2020-11-14,Real Betis,Celta Vigo,0,0,D,Generated,2025-07-12T11:53:36.882278
121,2020,13,2020-11-14,Real Madrid,Barcelona,1,4,A,Generated,2025-07-12T11:53:36.882212
123,2020,13,2020-11-14,Valencia,Villarreal,2,0,H,Generated,2025-07-12T11:53:36.882245
134,2020,14,2020-11-21,Athletic Bilbao,Real Sociedad,4,1,H,Generated,2025-07-12T11:53:36.882427
132,2020,14,2020-11-21,Atlético Madrid,Sevilla,2,0,H,Generated,2025-07-12T11:53:36.882395
139,2020,14,2020-11-21,Cádiz,Elche,1,3,A,Generated,2025-07-12T11:53:36.882508
136,2020,14,2020-11-21,Espanyol,Getafe,3,4,A,Generated,2025-07-12T11:53:36.882460
140,2020,14,2020-11-21,Granada,Huesca,0,0,D,Generated,2025-07-12T11:53:36.882525
137,2020,14,2020-11-21,Levante,Osasuna,2,0,H,Generated,2025-07-12T11:53:36.882476
138,2020,14,2020-11-21,Mallorca,Alavés,2,1,H,Generated,2025-07-12T11:53:36.882492
135,2020,14,2020-11-21,Real Betis,Celta Vigo,0,3,A,Generated,2025-07-12T11:53:36.882444
131,2020,14,2020-11-21,Real Madrid,Barcelona,1,0,H,Generated,2025-07-12T11:53:36.882379
133,2020,14,2020-11-21,Valencia,Villarreal,1,1,D,Generated,2025-07-12T11:53:36.882411
144,2020,15,2020-11-28,Athletic Bilbao,Real Sociedad,0,2,A,Generated,2025-07-12T11:53:36.882591
142,2020,15,2020-11-28,Atlético Madrid,Sevilla,1,1,D,Generated,2025-07-12T11:53:36.882558
149,2020,15,2020-11-28,Cádiz,Elche,3,4,A,Generated,2025-07-12T11:53:36.882684
146,2020,15,2020-11-28,Espanyol,Getafe,3,4,A,Generated,2025-07-12T11:53:36.882635
150,2020,15,2020-11-28,Granada,Huesca,2,0,H,Generated,2025-07-12T11:53:36.882700
147,2020,15,2020-11-28,Levante,Osasuna,3,1,H,Generated,2025-07-12T11:53:36.882652
148,2020,15,2020-11-28,Mallorca,Alavés,1,3,A,Generated,2025-07-12T11:53:36.882668
145,2020,15,2020-11-28,Real Betis,Celta Vigo,3,2,H,Generated,2025-07-12T11:53:36.882618
141,2020,15,2020-11-28,Real Madrid,Barcelona,2,2,D,Generated,2025-07-12T11:53:36.882542
143,2020,15,2020-11-28,Valencia,Villarreal,1,1,D,Generated,2025-07-12T11:53:36.882575
154,2020,16,2020-12-05,Athletic Bilbao,Real Sociedad,3,1,H,Generated,2025-07-12T11:53:36.882769
152,2020,16,2020-12-05,Atlético Madrid,Sevilla,1,2,A,Generated,2025-07-12T11:53:36.882735
159,2020,16,2020-12-05,Cádiz,Elche,0,3,A,Generated,2025-07-12T11:53:36.882852
156,2020,16,2020-12-05,Espanyol,Getafe,2,1,H,Generated,2025-07-12T11:53:36.882801
160,2020,16,2020-12-05,Granada,Huesca,1,1,D,Generated,2025-07-12T11:53:36.882869
157,2020,16,2020-12-05,Levante,Osasuna,1,1,D,Generated,2025-07-12T11:53:36.882819
158,2020,16,2020-12-05,Mallorca,Alavés,2,1,H,Generated,2025-07-12T11:53:36.882836
155,2020,16,2020-12-05,Real Betis,Celta Vigo,0,1,A,Generated,2025-07-12T11:53:36.882785
151,2020,16,2020-12-05,Real Madrid,Barcelona,1,2,A,Generated,2025-07-12T11:53:36.882718
153,2020,16,2020-12-05,Valencia,Villarreal,0,0,D,Generated,2025-07-12T11:53:36.882751
164,2020,17,2020-12-12,Athletic Bilbao,Real Sociedad,2,1,H,Generated,2025-07-12T11:53:36.882939
162,2020,17,2020-12-12,Atlético Madrid,Sevilla,1,0,H,Generated,2025-07-12T11:53:36.882904
169,2020,17,2020-12-12,Cádiz,Elche,2,3,A,Generated,2025-07-12T11:53:36.883027
166,2020,17,2020-12-12,Espanyol,Getafe,1,1,D,Generated,2025-07-12T11:53:36.882974
170,2020,17,2020-12-12,Granada,Huesca,3,2,H,Generated,2025-07-12T11:53:36.883044
167,2020,17,2020-12-12,Levante,Osasuna,1,2,A,Generated,2025-07-12T11:53:36.882992
168,2020,17,2020-12-12,Mallorca,Alavés,1,1,D,Generated,2025-07-12T11:53:36.883010
165,2020,17,2020-12-12,Real Betis,Celta Vigo,0,3,A,Generated,2025-07-12T11:53:36.882957
161,2020,17,2020-12-12,Real Madrid,Barcelona,0,4,A,Generated,2025-07-12T11:53:36.882887
163,2020,17,2020-12-12,Valencia,Villarreal,1,1,D,Generated,2025-07-12T11:53:36.882922
174,2020,18,2020-12-19,Athletic Bilbao,Real Sociedad,3,3,D,Generated,2025-07-12T11:53:36.883115
172,2020,18,2020-12-19,Atlético Madrid,Sevilla,0,0,D,Generated,2025-07-12T11:53:36.883079
179,2020,18,2020-12-19,Cádiz,Elche,2,1,H,Generated,2025-07-12T11:53:36.883197
176,2020,18,2020-12-19,Espanyol,Getafe,2,0,H,Generated,2025-07-12T11:53:36.883148
180,2020,18,2020-12-19,Granada,Huesca,2,0,H,Generated,2025-07-12T11:53:36.883214
177,2020,18,2020-12-19,Levante,Osasuna,1,1,D,Generated,2025-07-12T11:53:36.883164
178,2020,18,2020-12-19,Mallorca,Alavés,4,2,H,Generated,2025-07-12T11:53:36.883181
175,2020,18,2020-12-19,Real Betis,Celta Vigo,3,4,A,Generated,2025-07-12T11:53:36.883131
171,2020,18,2020-12-19,Real Madrid,Barcelona,3,0,H,Generated,2025-07-12T11:53:36.883062
173,2020,18,2020-12-19,Valencia,Villarreal,4,0,H,Generated,2025-07-12T11:53:36.883095
184,2020,19,2020-12-26,Athletic Bilbao,Real Sociedad,2,1,H,Generated,2025-07-12T11:53:36.883285
182,2020,19,2020-12-26,Atlético Madrid,Sevilla,4,1,H,Generated,2025-07-12T11:53:36.883250
189,2020,19,2020-12-26,Cádiz,Elche,0,3,A,Generated,2025-07-12T11:53:36.883372
186,2020,19,2020-12-26,Espanyol,Getafe,1,3,A,Generated,2025-07-12T11:53:36.883320
190,2020,19,2020-12-26,Granada,Huesca,1,1,D,Generated,2025-07-12T11:53:36.883389
187,2020,19,2020-12-26,Levante,Osasuna,2,1,H,Generated,2025-07-12T11:53:36.883338
188,2020,19,2020-12-26,Mallorca,Alavés,2,2,D,Generated,2025-07-12T11:53:36.883355
185,2020,19,2020-12-26,Real Betis,Celta Vigo,1,2,A,Generated,2025-07-12T11:53:36.883302
181,2020,19,2020-12-26,Real Madrid,Barcelona,3,1,H,Generated,2025-07-12T11:53:36.883232
183,2020,19,2020-12-26,Valencia,Villarreal,0,0,D,Generated,2025-07-12T11:53:36.883267
194,2020,20,2021-01-02,Athletic Bilbao,Real Sociedad,1,0,H,Generated,2025-07-12T11:53:36.883459
192,2020,20,2021-01-02,Atlético Madrid,Sevilla,1,1,D,Generated,2025-07-12T11:53:36.883426
199,2020,20,2021-01-02,Cádiz,Elche,1,3,A,Generated,2025-07-12T11:53:36.883542
196,2020,20,2021-01-02,Espanyol,Getafe,2,2,D,Generated,2025-07-12T11:53:36.883493
200,2020,20,2021-01-02,Granada,Huesca,2,2,D,Generated,2025-07-12T11:53:36.883559
197,2020,20,2021-01-02,Levante,Osasuna,1,1,D,Generated,2025-07-12T11:53:36.883509
198,2020,20,2021-01-02,Mallorca,Alavés,2,2,D,Generated,2025-07-12T11:53:36.883525
195,2020,20,2021-01-02,Real Betis,Celta Vigo,1,0,H,Generated,2025-07-12T11:53:36.883476
191,2020,20,2021-01-02,Real Madrid,Barcelona,4,2,H,Generated,2025-07-12T11:53:36.883407
193,2020,20,2021-01-02,Valencia,Villarreal,1,2,A,Generated,2025-07-12T11:53:36.883442
204,2020,21,2021-01-09,Athletic Bilbao,Real Sociedad,3,2,H,Generated,2025-07-12T11:53:36.883629
202,2020,21,2021-01-09,Atlético Madrid,Sevilla,3,2,H,Generated,2025-07-12T11:53:36.883595
209,2020,21,2021-01-09,Cádiz,Elche,2,2,D,Generated,2025-07-12T11:53:36.883711
206,2020,21,2021-01-09,Espanyol,Getafe,2,1,H,Generated,2025-07-12T11:53:36.883662
210,2020,21,2021-01-09,Granada,Huesca,2,2,D,Generated,2025-07-12T11:53:36.883727
207,2020,21,2021-01-09,Levante,Osasuna,2,1,H,Generated,2025-07-12T11:53:36.883679
208,2020,21,2021-01-09,Mallorca,Alavés,1,4,A,Generated,2025-07-12T11:53:36.883695
205,2020,21,2021-01-09,Real Betis,Celta Vigo,1,3,A,Generated,2025-07-12T11:53:36.883646
201,2020,21,2021-01-09,Real Madrid,Barcelona,2,3,A,Generated,2025-07-12T11:53:36.883577
203,2020,21,2021-01-09,Valencia,Villarreal,1,0,H,Generated,2025-07-12T11:53:36.883612
214,2020,22,2021-01-16,Athletic Bilbao,Real Sociedad,1,2,A,Generated,2025-07-12T11:53:36.883795
212,2020,22,2021-01-16,Atlético Madrid,Sevilla,1,3,A,Generated,2025-07-12T11:53:36.883762
219,2020,22,2021-01-16,Cádiz,Elche,1,3,A,Generated,2025-07-12T11:53:36.883886
216,2020,22,2021-01-16,Espanyol,Getafe,1,3,A,Generated,2025-07-12T11:53:36.883828
220,2020,22,2021-01-16,Granada,Huesca,1,1,D,Generated,2025-07-12T11:53:36.883903
217,2020,22,2021-01-16,Levante,Osasuna,2,3,A,Generated,2025-07-12T11:53:36.883844
218,2020,22,2021-01-16,Mallorca,Alavés,4,1,H,Generated,2025-07-12T11:53:36.883860
215,2020,22,2021-01-16,Real Betis,Celta Vigo,1,2,A,Generated,2025-07-12T11:53:36.883811
211,2020,22,2021-01-16,Real Madrid,Barcelona,1,4,A,Generated,2025-07-12T11:53:36.883745
213,2020,22,2021-01-16,Valencia,Villarreal,3,4,A,Generated,2025-07-12T11:53:36.883778
224,2020,23,2021-01-23,Athletic Bilbao,Real Sociedad,0,1,A,Generated,2025-07-12T11:53:36.884056
222,2020,23,2021-01-23,Atlético Madrid,Sevilla,1,2,A,Generated,2025-07-12T11:53:36.884014
229,2020,23,2021-01-23,Cádiz,Elche,1,1,D,Generated,2025-07-12T11:53:36.884142
226,2020,23,2021-01-23,Espanyol,Getafe,1,0,H,Generated,2025-07-12T11:53:36.884091
230,2020,23,2021-01-23,Granada,Huesca,3,1,H,Generated,2025-07-12T11:53:36.884159
227,2020,23,2021-01-23,Levante,Osasuna,0,1,A,Generated,2025-07-12T11:53:36.884108
228,2020,23,2021-01-23,Mallorca,Alavés,0,0,D,Generated,2025-07-12T11:53:36.884125
225,2020,23,2021-01-23,Real Betis,Celta Vigo,1,4,A,Generated,2025-07-12T11:53:36.884073
221,2020,23,2021-01-23,Real Madrid,Barcelona,1,2,A,Generated,2025-07-12T11:53:36.883979
223,2020,23,2021-01-23,Valencia,Villarreal,1,2,A,Generated,2025-07-12T11:53:36.884037
234,2020,24,2021-01-30,Athletic Bilbao,Real Sociedad,4,0,H,Generated,2025-07-12T11:53:36.884381
232,2020,24,2021-01-30,Atlético Madrid,Sevilla,4,0,H,Generated,2025-07-12T11:53:36.884195
239,2020,24,2021-01-30,Cádiz,Elche,1,0,H,Generated,2025-07-12T11:53:36.884628
236,2020,24,2021-01-30,Espanyol,Getafe,1,4,A,Generated,2025-07-12T11:53:36.884474
240,2020,24,2021-01-30,Granada,Huesca,0,2,A,Generated,2025-07-12T11:53:36.884644
237,2020,24,2021-01-30,Levante,Osasuna,1,1,D,Generated,2025-07-12T11:53:36.884587
238,2020,24,2021-01-30,Mallorca,Alavés,1,4,A,Generated,2025-07-12T11:53:36.884610
235,2020,24,2021-01-30,Real Betis,Celta Vigo,2,1,H,Generated,2025-07-12T11:53:36.884431
231,2020,24,2021-01-30,Real Madrid,Barcelona,3,2,H,Generated,2025-07-12T11:53:36.884178
233,2020,24,2021-01-30,Valencia,Villarreal,0,1,A,Generated,2025-07-12T11:53:36.884277
244,2020,25,2021-02-06,Athletic Bilbao,Real Sociedad,2,2,D,Generated,2025-07-12T11:53:36.884713
242,2020,25,2021-02-06,Atlético Madrid,Sevilla,0,3,A,Generated,2025-07-12T11:53:36.884681
249,2020,25,2021-02-06,Cádiz,Elche,2,1,H,Generated,2025-07-12T11:53:36.884793
246,2020,25,2021-02-06,Espanyol,Getafe,1,0,H,Generated,2025-07-12T11:53:36.884745
250,2020,25,2021-02-06,Granada,Huesca,3,2,H,Generated,2025-07-12T11:53:36.884809
247,2020,25,2021-02-06,Levante,Osasuna,1,1,D,Generated,2025-07-12T11:53:36.884761
248,2020,25,2021-02-06,Mallorca,Alavés,2,0,H,Generated,2025-07-12T11:53:36.884778
245,2020,25,2021-02-06,Real Betis,Celta Vigo,4,1,H,Generated,2025-07-12T11:53:36.884729
241,2020,25,2021-02-06,Real Madrid,Barcelona,1,2,A,Generated,2025-07-12T11:53:36.884664
243,2020,25,2021-02-06,Valencia,Villarreal,1,1,D,Generated,2025-07-12T11:53:36.884697
254,2020,26,2021-02-13,Athletic Bilbao,Real Sociedad,1,1,D,Generated,2025-07-12T11:53:36.884875
252,2020,26,2021-02-13,Atlético Madrid,Sevilla,3,1,H,Generated,2025-07-12T11:53:36.884843
259,2020,26,2021-02-13,Cádiz,Elche,3,0,H,Generated,2025-07-12T11:53:36.884956
256,2020,26,2021-02-13,Espanyol,Getafe,2,0,H,Generated,2025-07-12T11:53:36.884907
260,2020,26,2021-02-13,Granada,Huesca,2,0,H,Generated,2025-07-12T11:53:36.884971
257,2020,26,2021-02-13,Levante,Osasuna,1,1,D,Generated,2025-07-12T11:53:36.884922
258,2020,26,2021-02-13,Mallorca,Alavés,0,1,A,Generated,2025-07-12T11:53:36.884940
255,2020,26,2021-02-13,Real Betis,Celta Vigo,2,1,H,Generated,2025-07-12T11:53:36.884891
251,2020,26,2021-02-13,Real Madrid,Barcelona,2,1,H,Generated,2025-07-12T11:53:36.884826
253,2020,26,2021-02-13,Valencia,Villarreal,2,0,H,Generated,2025-07-12T11:53:36.884859
264,2020,27,2021-02-20,Athletic Bilbao,Real Sociedad,2,0,H,Generated,2025-07-12T11:53:36.885036
262,2020,27,2021-02-20,Atlético Madrid,Sevilla,2,0,H,Generated,2025-07-12T11:53:36.885005
269,2020,27,2021-02-20,Cádiz,Elche,3,1,H,Generated,2025-07-12T11:53:36.885115
266,2020,27,2021-02-20,Espanyol,Getafe,2,1,H,Generated,2025-07-12T11:53:36.885068
270,2020,27,2021-02-20,Granada,Huesca,2,1,H,Generated,2025-07-12T11:53:36.885132
267,2020,27,2021-02-20,Levante,Osasuna,2,1,H,Generated,2025-07-12T11:53:36.885083
